block_number,address,is_erc20,is_erc721,code,artistic_score,artistic_reason
49428,0xa3483b08c8a0f33eb07aff3a66fbcaf5c9018cdc,FALSE,FALSE,"contract testContract {    \n   function go() constant returns (string) {        \n      return ""Hello Ethereum!"";    \n   }\n}",1,
49853,0x8374f5cc22eda52e960d9558fb48dd4b7946609a,FALSE,FALSE,"contract FirstCoin {\n    mapping (address => uint) public coinBalanceOf;\n\n    event CoinTransfer(address sender, address receiver, uint amount);\n\n    function FirstCoin(uint supply) {\n        coinBalanceOf[msg.sender] = 1000000;\n    }\n\n    function sendCoin(address receiver, uint amount) returns(bool sufficient) {\n        if (coinBalanceOf[msg.sender] < amount) {\n            return false;\n        }\n        coinBalanceOf[msg.sender] -= amount;\n        coinBalanceOf[receiver] += amount;\n        CoinTransfer(msg.sender, receiver, amount);\n        return true;\n    } \n}",1,
49864,0x3b4446acd9547d0183811f0e7c31b63706295f52,FALSE,FALSE,"contract FirstCoin {\n    mapping (address => uint) public coinBalanceOf;\n\n    event CoinTransfer(address sender, address receiver, uint amount);\n\n    function FirstCoin(uint supply) {\n        coinBalanceOf[msg.sender] = 1000000;\n    }\n\n    function sendCoin(address receiver, uint amount) returns(bool sufficient) {\n        if (coinBalanceOf[msg.sender] < amount) {\n            return false;\n        }\n        coinBalanceOf[msg.sender] -= amount;\n        coinBalanceOf[receiver] += amount;\n        CoinTransfer(msg.sender, receiver, amount);\n        return true;\n    } \n}",1,
49880,0x6e38a457c722c6011b2dfa06d49240e797844d66,FALSE,FALSE,"contract TerraNullius {\n  struct Claim { address claimant; string message; uint block_number; }\n  Claim[] public claims;\n\n  function claim(string message) {\n    uint index = claims.length;\n    claims.length++;\n    claims[index] = Claim(msg.sender, message, block.number);\n  }\n\n  function number_of_claims() returns(uint result) {\n    return claims.length;\n  }\n}",1,
49924,0x109c4f2ccc82c4d77bde15f306707320294aea3f,FALSE,FALSE,contract MyScheme {\n \n    uint treeBalance;\n    uint numInvestorsMinusOne;\n    uint treeDepth;\n    address[] myTree;\n \n    function MyScheme() {\n        treeBalance = 0;\n        myTree.length = 6;\n        myTree[0] = msg.sender;\n        numInvestorsMinusOne = 0;\n    }\n   \n        function getNumInvestors() constant returns (uint a){\n                a = numInvestorsMinusOne+1;\n        }\n   \n        function() {\n        uint amount = msg.value;\n        if (amount>=1000000000000000000){\n            numInvestorsMinusOne+=1;\n            myTree[numInvestorsMinusOne]=msg.sender;\n            amount-=1000000000000000000;\n            treeBalance+=1000000000000000000;\n            if (numInvestorsMinusOne<=2){\n                myTree[0].send(treeBalance);\n                treeBalance=0;\n                treeDepth=1;\n            }\n            else if (numInvestorsMinusOne+1==myTree.length){\n                    for(uint i=myTree.length-3*(treeDepth+1);i<myTree.length-treeDepth-2;i++){\n                        myTree[i].send(500000000000000000);\n                        treeBalance-=500000000000000000;\n                    }\n                    uint eachLevelGets = treeBalance/(treeDepth+1)-1;\n                    uint numInLevel = 1;\n                    for(i=0;i<myTree.length-treeDepth-2;i++){\n                        myTree[i].send(eachLevelGets/numInLevel-1);\n                        treeBalance -= eachLevelGets/numInLevel-1;\n                        if (numInLevel*(numInLevel+1)/2 -1== i){\n                            numInLevel+=1;\n                        }\n                    }\n                    myTree.length+=treeDepth+3;\n                    treeDepth+=1;\n            }\n        }\n                treeBalance+=amount;\n    }\n},1,
51807,0x5564886ca2c518d1964e5fcea4f423b41db9f561,FALSE,FALSE,"contract NameRegister {\n  function addr(bytes32 _name) constant returns (address o_owner) {}\n  function name(address _owner) constant returns (bytes32 o_name) {}\n}\ncontract Registrar is NameRegister {\n  event Changed(bytes32 indexed name);\n  event PrimaryChanged(bytes32 indexed name, address indexed addr);\n  function owner(bytes32 _name) constant returns (address o_owner) {}\n  function addr(bytes32 _name) constant returns (address o_address) {}\n  function subRegistrar(bytes32 _name) constant returns (address o_subRegistrar) {}\n  function content(bytes32 _name) constant returns (bytes32 o_content) {}\n  function name(address _owner) constant returns (bytes32 o_name) {}\n}\n\ncontract GlobalRegistrar is Registrar {\n  struct Record {\n    address owner;\n    address primary;\n    address subRegistrar;\n    bytes32 content;\n    uint value;\n    uint renewalDate;\n  }\n  function Registrar() {\n    // TODO: Populate with hall-of-fame.\n  }\n  function reserve(bytes32 _name) {\n    // Don't allow the same name to be overwritten.\n    // TODO: bidding mechanism\n    if (m_toRecord[_name].owner == 0) {\n      m_toRecord[_name].owner = msg.sender;\n      Changed(_name);\n    }\n  }\n  /*\n  TODO\n  > 12 chars: free\n  <= 12 chars: auction:\n  1. new names are auctioned\n  - 7 day period to collect all bid bytes32es + deposits\n  - 1 day period to collect all bids to be considered (validity requires associated deposit to be >10% of bid)\n  - all valid bids are burnt except highest - difference between that and second highest is returned to winner\n  2. remember when last auctioned/renewed\n  3. anyone can force renewal process:\n  - 7 day period to collect all bid bytes32es + deposits\n  - 1 day period to collect all bids & full amounts - bids only uncovered if sufficiently high.\n  - 1% of winner burnt; original owner paid rest.\n  */\n  modifier onlyrecordowner(bytes32 _name) { if (m_toRecord[_name].owner == msg.sender) _ }\n  function transfer(bytes32 _name, address _newOwner) onlyrecordowner(_name) {\n    m_toRecord[_name].owner = _newOwner;\n    Changed(_name);\n  }\n  function disown(bytes32 _name) onlyrecordowner(_name) {\n    if (m_toName[m_toRecord[_name].primary] == _name)\n    {\n      PrimaryChanged(_name, m_toRecord[_name].primary);\n      m_toName[m_toRecord[_name].primary] = """";\n    }\n    delete m_toRecord[_name];\n    Changed(_name);\n  }\n  function setAddress(bytes32 _name, address _a, bool _primary) onlyrecordowner(_name) {\n    m_toRecord[_name].primary = _a;\n    if (_primary)\n    {\n      PrimaryChanged(_name, _a);\n      m_toName[_a] = _name;\n    }\n    Changed(_name);\n  }\n  function setSubRegistrar(bytes32 _name, address _registrar) onlyrecordowner(_name) {\n    m_toRecord[_name].subRegistrar = _registrar;\n    Changed(_name);\n  }\n  function setContent(bytes32 _name, bytes32 _content) onlyrecordowner(_name) {\n    m_toRecord[_name].content = _content;\n    Changed(_name);\n  }\n  function owner(bytes32 _name) constant returns (address) { return m_toRecord[_name].owner; }\n  function addr(bytes32 _name) constant returns (address) { return m_toRecord[_name].primary; }\n//  function subRegistrar(bytes32 _name) constant returns (address) { return m_toRecord[_name].subRegistrar; } // TODO: bring in on next iteration.\n  function register(bytes32 _name) constant returns (address) { return m_toRecord[_name].subRegistrar; }  // only possible for now\n  function content(bytes32 _name) constant returns (bytes32) { return m_toRecord[_name].content; }\n  function name(address _owner) constant returns (bytes32 o_name) { return m_toName[_owner]; }\n  mapping (address => bytes32) m_toName;\n  mapping (bytes32 => Record) m_toRecord;\n}",1,
53051,0x3c401b518252abe3bbbf898a44939699e7da1634,FALSE,FALSE,"contract FirstCoin {\n    mapping (address => uint) public coinBalanceOf;\n\n    event CoinTransfer(address sender, address receiver, uint amount);\n\n    function FirstCoin(uint supply) {\n        coinBalanceOf[msg.sender] = 1000000;\n    }\n\n    function sendCoin(address receiver, uint amount) returns(bool sufficient) {\n        if (coinBalanceOf[msg.sender] < amount) {\n            return false;\n        }\n        coinBalanceOf[msg.sender] -= amount;\n        coinBalanceOf[receiver] += amount;\n        CoinTransfer(msg.sender, receiver, amount);\n        return true;\n    } \n}",1,
53054,0x33e98638ea7f2c2fd83731528fb53802af395d13,FALSE,FALSE,"contract FirstCoin {\n    mapping (address => uint) public coinBalanceOf;\n\n    event CoinTransfer(address sender, address receiver, uint amount);\n\n    function FirstCoin(uint supply) {\n        coinBalanceOf[msg.sender] = 1000000;\n    }\n\n    function sendCoin(address receiver, uint amount) returns(bool sufficient) {\n        if (coinBalanceOf[msg.sender] < amount) {\n            return false;\n        }\n        coinBalanceOf[msg.sender] -= amount;\n        coinBalanceOf[receiver] += amount;\n        CoinTransfer(msg.sender, receiver, amount);\n        return true;\n    } \n}",1,
54537,0xe9712e9d4635f4c6937e9982a1596c64f0968a4c,FALSE,FALSE,"contract FirstCoin {\n    mapping (address => uint) public coinBalanceOf;\n\n    event CoinTransfer(address sender, address receiver, uint amount);\n\n    function FirstCoin(uint supply) {\n        coinBalanceOf[msg.sender] = 1000000;\n    }\n\n    function sendCoin(address receiver, uint amount) returns(bool sufficient) {\n        if (coinBalanceOf[msg.sender] < amount) {\n            return false;\n        }\n        coinBalanceOf[msg.sender] -= amount;\n        coinBalanceOf[receiver] += amount;\n        CoinTransfer(msg.sender, receiver, amount);\n        return true;\n    } \n}",1,
54577,0xdff42ad7ef3dd8e8dc5e677a724f509790a4ec5e,FALSE,FALSE,"contract FirstCoin {\n    mapping (address => uint) public coinBalanceOf;\n\n    event CoinTransfer(address sender, address receiver, uint amount);\n\n    function FirstCoin(uint supply) {\n        coinBalanceOf[msg.sender] = 1000000;\n    }\n\n    function sendCoin(address receiver, uint amount) returns(bool sufficient) {\n        if (coinBalanceOf[msg.sender] < amount) {\n            return false;\n        }\n        coinBalanceOf[msg.sender] -= amount;\n        coinBalanceOf[receiver] += amount;\n        CoinTransfer(msg.sender, receiver, amount);\n        return true;\n    } \n}",1,
